"School Number",Latitude,Longitude,Easting,Northing
"6697000",51.691646,-4.154337,251190,201407
"6697010",51.847239,-4.322244,240137,219065
"6702006",51.612798,-3.971177,263612,192281
"6702008",51.647051,-3.982897,262904,196112
"6702014",51.678747,-3.930719,266607,199540
"6702017",51.621315,-3.915177,267514,193125
"6702021",51.640249,-3.973495,263534,195338
"6702023",51.68848,-3.879483,270177,200530
"6702027",51.581311,-4.004831,261186,188843
"6702032",51.634299,-3.940983,265766,194616
"6702036",51.665213,-3.899271,268742,197978
"6702040",51.662892,-3.920371,267276,197758
"6702042",51.575503,-4.003204,261281,188194
"6702048",51.639334,-3.920763,267180,195139
"6702051",51.649211,-3.934248,266276,196262
"6702054",51.625089,-3.996315,261909,193695
"6702055",51.615279,-3.954009,264808,192525
"6702059",51.62344,-3.954808,264777,193434
"6702063",51.627723,-3.963806,264167,193927
"6702065",51.64071,-4.026672,259856,195490
"6702067",51.633183,-3.945935,265420,194501
"6702069",51.645102,-3.96512,264128,195862
"6702071",51.685431,-3.907437,268236,200241
"6702073",51.664047,-3.945262,265558,197932
"6702075",51.649517,-3.971358,263710,196365
"6702076",51.591162,-4.010164,260847,189949
"6702077",51.647003,-3.907066,268150,195967
"6702082",51.65461,-3.974018,263541,196936
"6702084",51.657277,-3.893809,269097,197086
"6702086",51.615593,-3.997342,261809,192641
"6702092",51.575894,-4.013973,260536,188258
"6702095",51.581861,-4.017384,260318,188928
"6702096",51.622252,-4.014971,260609,193415
"6702098",51.614005,-3.968677,263789,192411
"6702105",51.582251,-4.051899,257928,189038
"6702108",51.663485,-4.072998,256723,198113
"6702109",51.613175,-4.029273,259591,192433
"6702117",51.715866,-3.918185,267582,203645
"6702120",51.627554,-4.06686,257034,194105
"6702133",51.708301,-3.971492,263877,202902
"6702157",51.672661,-3.955919,264847,198910
"6702159",51.607816,-4.171408,249733,192120
"6702167",51.641554,-4.109736,254112,195747
"6702172",51.689287,-4.035541,259393,200909
"6702174",51.674273,-4.001327,261712,199174
"6702176",51.675048,-4.050205,258335,199354
"6702186",51.712482,-4.028592,259945,203475
"6702189",51.713012,-4.032632,259668,203542
"6702192",51.693216,-4.010497,261136,201298
"6702211",51.665606,-4.059973,257630,198323
"6702212",51.662301,-4.041734,258881,197920
"6702215",51.697431,-3.904932,268444,201571
"6702216",51.575638,-4.08325,255735,188364
"6702217",51.578944,-4.211642,246850,188993
"6702219",51.624995,-4.043526,258641,193775
"6702223",51.665213,-4.043875,258742,198248
"6702225",51.656974,-3.88548,269672,197037
"6702226",51.682022,-3.91997,267360,199885
"6702229",51.641898,-4.013038,260803,195596
"6702231",51.658294,-3.954342,264913,197309
"6702232",51.700743,-3.894567,269170,201921
"6702233",51.632593,-3.980634,263017,194500
"6702234",51.627851,-3.951819,264997,193919
"6702235",51.585331,-4.0043,261235,189289
"6702236",51.668072,-3.876426,270330,198255
"6702237",51.622505,-4.02274,260072,193458
"6702238",51.649234,-3.949181,265243,196292
"6702239",51.62406,-3.924914,266848,193448
"6702240",51.651372,-4.045311,258600,196712
"6702241",51.668718,-3.923756,267059,198412
"6702242",51.664228,-3.932097,266469,197928
"6702243",51.638102,-3.955385,264781,195066
"6702244",51.696019,-3.895539,269089,201397
"6702245",51.646617,-3.912022,267806,195933
"6702246",51.671088,-4.039555,259059,198893
"6702247",51.643238,-3.944227,265568,195616
"6703303",51.581311,-4.004831,261186,188843
"6703305",51.640702,-3.915762,267530,195282
"6703306",51.613402,-3.957121,264587,192322
"6703308",51.696889,-3.88112,270088,201468
"6703309",51.631372,-3.943965,265551,194296
"6704031",51.64466,-3.904948,268290,195703
"6704032",51.618792,-4.005414,261260,193012
"6704033",51.681696,-3.926683,266895,199861
"6704043",51.637901,-3.941238,265759,195017
"6704044",51.615242,-3.988357,262430,192585
"6704062",51.674735,-4.041353,258946,199302
"6704063",51.642587,-4.036151,259206,195717
"6704069",51.584737,-4.048084,258200,189307
"6704072",51.71739,-4.033864,259596,204031
"6704074",51.645898,-4.039176,259007,196091
"6704075",51.67105,-3.871834,270656,198578
"6704076",51.633091,-3.983112,262847,194560
"6704078",51.651023,-3.959844,264511,196511
"6704600",51.66122,-3.935685,266212,197600
"6707000",51.659796,-3.941827,265783,197453
"6707008",51.628455,-3.942511,265643,193969
"6712100",51.716033,-3.845419,272609,203534
"6712101",51.765677,-3.711665,281978,208830
"6712106",51.733897,-3.642456,286674,205186
"6712110",51.677621,-3.815825,274547,199211
"6712119",51.618086,-3.808059,274920,192577
"6712128",51.797855,-3.819899,274599,212589
"6712129",51.732772,-3.746959,279455,205228
"6712134",51.629666,-3.863946,271084,193962
"6712137",51.74708,-3.622033,288117,206620
"6712138",51.651451,-3.651589,285836,196031
"6712140",51.74727,-3.807956,275283,206943
"6712142",51.584684,-3.768236,277587,188795
"6712144",51.658222,-3.800549,275550,197028
"6712148",51.679513,-3.626661,287630,199113
"6712149",51.79304,-3.87507,270781,212150
"6712150",51.674169,-3.796509,275873,198794
"6712155",51.77637,-3.664859,285235,209944
"6712158",51.59952,-3.820086,274036,190533
"6712161",51.595715,-3.797454,275593,190071
"6712168",51.661504,-3.797946,275739,197388
"6712173",51.644389,-3.635116,286958,195220
"6712175",51.590893,-3.808654,274804,189554
"6712178",51.728356,-3.840071,273013,204895
"6712181",51.673807,-3.778301,277131,198723
"6712187",51.709142,-3.694044,283048,202514
"6712191",51.620993,-3.79682,275706,192881
"6712200",51.713421,-3.828449,273774,203214
"6712202",51.765677,-3.711665,281978,208830
"6712203",51.732497,-3.860861,271589,205392
"6712205",51.74708,-3.622033,288117,206620
"6712206",51.791163,-3.862493,271643,211919
"6712208",51.710413,-3.863674,271332,202941
"6712218",51.724882,-3.85263,272136,204531
"6712221",51.670641,-3.818887,274316,198440
"6712230",51.680449,-3.781512,276927,199467
"6712231",51.643377,-3.821148,274084,195412
"6712232",51.548517,-3.703876,281952,184667
"6712233",51.660005,-3.844139,272540,197301
"6712234",51.65574,-3.59772,289573,196425
"6712235",51.596931,-3.810713,274678,190229
"6712236",51.652758,-3.785023,276609,196394
"6712237",51.613974,-3.763021,278027,192044
"6712238",51.591004,-3.777302,276976,189513
"6712239",51.661622,-3.835023,273175,197465
"6712240",51.65177,-3.813997,274602,196333
"6712241",51.642975,-3.814297,274557,195356
"6713309",51.65392,-3.798715,275665,196546
"6713310",51.594556,-3.789412,276147,189929
"6713311",51.685431,-3.817874,274427,200083
"6713313",51.662105,-3.801541,275492,197461
"6713314",51.599261,-3.815946,274322,190497
"6713316",51.599126,-3.796087,275697,190448
"6714047",51.651124,-3.648657,286038,195990
"6714064",51.650606,-3.775455,277265,196138
"6714065",51.717606,-3.850058,272293,203717
"6714066",51.678467,-3.78586,276621,199254
"6714067",51.665947,-3.813088,274704,197908
"6714601",51.599896,-3.794514,275808,190531
"6715500",51.610151,-3.819648,274096,191715
"6715501",51.763289,-3.785758,276859,208687
