National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,,,,
,,,,,,,
Primary schools / Ysgolion cynradd,,,,,,,
,,,,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                        
Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,,,,
,,,,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth",,,
6742182,Trallwng Infants School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742192,PENGEULAN PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742196,Pontrhondda Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742199,Trehopcyn Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742200,PONTYGWAITH PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742206,TREROBART PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742216,Y.G.G.PONTSIONNORTON school,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742218,Perthcelyn Community Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742221,HEOL Y CELYN BILINGUAL PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742222,TON PENTRE JUNIOR SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742225,Craig yr Hesg Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6742228,Llwyn-crwn Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742229,Ton Pentre Infants,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742235,Y.G.G.ABERDAR,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742243,TREALAW COUNTY PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6742244,Glenboi Community Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742247,Cefn Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6742251,TREORCHY PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742258,WILLIAMSTOWN PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6742263,Maesybryn Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742264,TYLORSTOWN PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742269,Tref-y-Rhyg Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6742272,Ysgol Gymraeg Tonyrefail,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742276,Penygawsi Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742284,YSGOL GYMRAEG LLWYNCELYN,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742287,YSGOL GYNRADD GYMRAEG YNYSWEN,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742306,Tonysguboriau Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742351,Y. G. G. G. Llantrisant,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742356,YSGOL GYMRAEG BODRINGALLT,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742359,Y.G.G. CASTELLAU,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742361,Y.G.G. Llyn-y-Forwyn,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742362,YSGOL GYMRAEG EVAN JAMES,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742364,Ysgol Gymraeg Abercynon,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742365,YGG BRONLLWYN School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742367,MISKIN PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742369,Penpych Community Primary Scho,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742370,Hendreforgan Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742371,Penyrenglyn Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742372,Penywaun Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742373,Penrhys Community Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6742374,Gwaunmeisgyn Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742375,Gwauncelyn Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742376,Penrhiwceibr Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742378,Ynyshir Community Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742380,Cwmclydach Community Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742381,Aberdare Park Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742382,Maerdy Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742383,Cwmbach Community Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742384,Ynysboeth Community Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6742385,Abercynon Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742386,Cymmer Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742387,Cwmaman Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6743309,Our Lady's R.C.,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6743312,ST MICHAELS PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6743313,S.S.Gabriel and Raphael Prim,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6743314,St. Margaret's Catholic Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6743317,ABERDARE TOWN C IN W PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6743319,CWMBACH CHURCH IN WALES,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6745500,Ysgol Llanhari,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6745501,Porth Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Red/Coch,,,
6745502,Ysgol Nantgwyn,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6745503,Tonyrefail Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6745504,Ysgol Garth Olwg,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6752000,Abercanaid Community,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6752002,Cyfarthfa Park Primary School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6752006,Caedraw Primary,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6752010,Gellifaelog Primary School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6752015,PANTYSGALLOG PRIMARY SCHOOL,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6752020,Gwaunfarren Primary,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6752022,Heolgerrig Community School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6752039,YNYSOWEN PRIMARY,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6752042,YSGOL SANTES TUDFUL,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6752054,Bedlinog Community Primary School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6752231,TRELEWIS PRIMARY SCHOOL,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6752330,YSGOL-Y-GRAIG,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6752346,Ysgol Gymraeg Rhyd-y-grug,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6752351,COED Y DDERWEN PRIMARY SCHOOL,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6752352,Twynyrodyn Community School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6752353,Edwardsville Primary School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6752354,Troedyrhiw  Commmunity Primary School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6752355,Dowlais Primary School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6752356,Goetre Primary School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6753300,St. Illtyds R.C.,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6753306,ST.MARY'S CATHOLIC PRIMARY,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6753307,St Aloysius RC,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6762058,Pengam Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762061,Fleur-de-Lys Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762071,COED-Y-BRAIN PRIMARY,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762078,Markham Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762081,CWMABER JUNIOR SCHOOL,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762084,Libanus Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762086,Pontllanfraith Primary School,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762089,Deri Primary School,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762093,Crumlin High Level Primary,Caerphilly / Caerffili,EAS / GCA,Red/Coch,,,
6762095,PENTWYNMAWR PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762097,DERWENDEG PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762098,Tynewydd Primary School.,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762100,Cwmcarn Primary School,Caerphilly / Caerffili,EAS / GCA,Red/Coch,,,
6762103,Waunfawr Primary,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762105,Risca Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762108,Fochriw Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762121,GILFACH FARGOED PRIMARY,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762140,HENDRE JUNIOR SCHOOL,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762145,HENDRE INFANTS SCHOOL,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762148,Hengoed Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762158,Llancaeach Junior School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762171,Llanfabon Infants School,Caerphilly / Caerffili,EAS / GCA,Amber/Oren,,,
6762193,RHYDRI PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762197,NANT Y PARC PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762207,Pantside Primary,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762224,Tiryberth Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762227,Ty Isaf Infants School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762252,CWM  IFOR  PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762256,BRYN PRIMARY,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762262,YSGOL IFOR BACH,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762264,Abercarn Primary school,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762278,Greenhill Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762282,YSGOL GYMRAEG CAERFFILI,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762285,YSGOL GYMRAEG GILFACH FARGOD,Caerphilly / Caerffili,EAS / GCA,Red/Coch,,,
6762296,YNYSDDU PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762307,UPPER RHYMNEY PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762309,Ysgol Y Lawnt,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762310,Bryn Awel Primary School,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762313,Ysgol Gymraeg Trelyn,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762316,PHILLIPSTOWN PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Amber/Oren,,,
6762322,MAESYCWMMER PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762323,Bedwas Junior,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762326,Machen Primary School,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762328,Graig-y-Rhacca Primary and Nursery Community,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762335,Bedwas Infants,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762338,HENDREDENNY PARK PRIMARY,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762339,Cwm Glas Infants School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762347,CWMABER INFANTS SCHOOL,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762368,YSGOL GYMRAEG BRO ALLTA,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762370,Cwmfelinfach Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762373,YSGOL GYMRAEG CWM GWYDDON,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762374,Y G G  Y Castell,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762376,Cwrt Rawlin Primary School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762377,Cefn Fforest Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762378,PENLLWYN PRIMARY,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762379,Blackwood Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762380,GLYN-GAER PRIMARY SCHOOL,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762381,Park Primary,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762382,Aberbargoed Primary School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762383,Trinant Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762384,Ty Sign Primary School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762385,Tyn-Y-Wern Primary,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762386,Twyn Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762387,White Rose Primary School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762388,Ysgol Bro Sannan,Caerphilly / Caerffili,EAS / GCA,Red/Coch,,,
6762389,Plasyfelin Primary School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762390,St James Primary School,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6762391,St Gwladys Bargoed School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762392,Rhiw syr Dafydd Primary School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762393,Ystrad Mynach Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762394,Ysgol Gynradd Gymraeg Cwm Derwen,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6762395,Ysgol Penalltau,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,,,
6763310,St Helens RC Primary,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,,,
6765500,Idris Davies School 3 to 18,Caerphilly / Caerffili,EAS / GCA,Amber/Oren,,,
6772067,Bryn Bach Primary School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6772070,Glanhowy Primary School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6772072,Deighton Junior and Infants,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6772074,Georgetown Junior and Infants,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6772179,SOFRYDD PRIMARY,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Amber/Oren,,,
6772253,Cwm Primary School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6772277,Beaufort Hill Primary,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6772278,Willowtown Primary School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6772306,Blaen-y-Cwm Primary School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6772307,Ysgol Gymraeg Brohelyg,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6772309,GLYNCOED PRIMARY,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Amber/Oren,,,
6772310,Rhos y Fedwen,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6772311,Ystruth Primary,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6772312,St. Illtyd's Primary School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6772313,Coed y Garn Primary School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6773308,ST MARY'S ROMAN CATHOLIC,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6773309,St. MARY'S CHURCH SCHOOL,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6773315,All Saints R.C. Primary School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,,,
6773316,St. Joseph's R.C. Primary,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6775500,Ebbw Fawr Learning Community,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,,,
6775501,Abertillery Learning Community,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Red/Coch,,,
6782203,Llanyrafon Primary School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782204,Maendy Junior and Infants,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782205,Llantarnam Community Primary School,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6782211,Pontnewydd Primary & Nursery,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782249,Greenmeadow Primary,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6782298,Cwmffrwdoer Primary,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6782308,George Street Primary School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782312,Ysgol Gymraeg Cwmbran Primary,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782315,Garnteg Primary,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782318,YSGOL BRYN ONNEN,Torfaen / Tor-faen,EAS / GCA,Amber/Oren,,,
6782319,Woodlands Community Primary School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782320,New Inn Primary School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782321,Griffithstown Primary School,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6782322,Penygarn Community Primary School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782323,Blenheim Road Community Primary School,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6782324,Coed Eva Primary School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782325,Croesyceiliog Primary School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6782326,Nant Celyn Primary School,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6782327,Ysgol Panteg,Torfaen / Tor-faen,EAS / GCA,Red/Coch,,,
6783028,Blaenavon Heritage VC Primary School,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6783321,Cwmbran R.C. Jnr. & Infts.,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6783324,St. Davids Cwmbran R.C. School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,,,
6783330,Henllys Church in Wales,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6783331,Padre Pio RC Primary School,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6783332,PONTHIR CHURCH IN WALES SCHOOL,Torfaen / Tor-faen,EAS / GCA,Yellow/Melyn,,,
6792057,Gilwern Primary School,Monmouthshire / Sir Fynwy,EAS / GCA,Green/Gwyrdd,,,
