National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,
,,,,
Secondary schools / Ysgolion uwchradd,,,,
,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                  Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,
,,,,
,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth"
6784072,West Monmouth School,Torfaen / Tor-faen,EAS / GCA,Amber/Oren
6784075,YSGOL GYFUN GWYNLLYW,Torfaen / Tor-faen,EAS / GCA,Red/Coch
6784076,Cwmbran High School,Torfaen / Tor-faen,EAS / GCA,Red/Coch
6784603,St. Albans R.C. High School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd
6794060,Monmouth Comprehensive School,Monmouthshire / Sir Fynwy,EAS / GCA,Yellow/Melyn
6794064,King Henry VIII Comprehensive,Monmouthshire / Sir Fynwy,EAS / GCA,Green/Gwyrdd
6794065,Chepstow Comprehensive School,Monmouthshire / Sir Fynwy,EAS / GCA,Amber/Oren
6794066,Caldicot School,Monmouthshire / Sir Fynwy,EAS / GCA,Yellow/Melyn
6804003,St Julian's School,Newport / Casnewydd,EAS / GCA,Red/Coch
6804020,The John Frost School,Newport / Casnewydd,EAS / GCA,Yellow/Melyn
6804021,Llanwern High School,Newport / Casnewydd,EAS / GCA,Amber/Oren
6804025,Newport High School,Newport / Casnewydd,EAS / GCA,Red/Coch
6804026,Lliswerry High School,Newport / Casnewydd,EAS / GCA,Amber/Oren
6804030,Bassaleg School,Newport / Casnewydd,EAS / GCA,Green/Gwyrdd
6804059,Caerleon Comprehensive School,Newport / Casnewydd,EAS / GCA,Amber/Oren
6804060,Ysgol Gyfun Gwent Is Coed,Newport / Casnewydd,EAS / GCA,Yellow/Melyn
6804602,St Joseph's RC High School,Newport / Casnewydd,EAS / GCA,Green/Gwyrdd
6814039,CARDIFF HIGH SCHOOL,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6814041,Willows High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6814042,Fitzalan High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
