"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5142198 - Ysgol Y Garreg ",21,24.76,27.32,24.64,23.88,21.32
"","","","5142199 - Ysgol O.M. Edwards ",86.16,89.28,97.48,103.4,100.72,99.4
"","","","5142200 - Y.G. Llawrybetws ",".",".",".",".",".","."
"","","","5142201 - Y.G. Llwyngwril ",".",".",".",".",".","."
"","","","5142205 - Ysgol Y Manod ",88.48,93.92,102.96,95.96,92.16,104.4
"","","","5142206 - Ysgol Gynradd Y Parc ",".",".",".",".",".","."
"","","","5142207 - Ysgol Gynradd Pennal ",24.88,23,20.76,21.44,15.88,21.32
"","","","5142208 - Ysgol Cefn Coch ",165.48,159.68,167.8,171.2,164.6,157.36
"","","","5142210 - Ysgol Gynradd Talsarnau ",35.4,39.32,46.08,43.64,45.32,42.2
"","","","5142211 - Ysgol Gynradd Tanygrisiau ",58.52,64.4,78.72,71.76,69.76,62.64
"","","","5142212 - Ysgol Penybryn ",227.24,223.56,222.48,233.24,234.84,240.88
"","","","5142213 - Ysgol Bro Hedd Wyn ",75.08,72.96,68.64,70.4,60.64,58.52
"","","","5142214 - Ysgol Bro Tryweryn ",49,48.64,52.4,48.2,44.76,38.08
"","","","5142215 - Ysgol Ieuan Gwynedd ",16.88,28.32,7.916667,".",".","."
"","","","5142216 - Ysgol Y Friog ",25.08,29.2,14.85,".",".","."
"","","","5142217 - Ysgol Gynradd Aberdyfi ",".",".",".",".",".","."
"","","","5142219 - Ysgol Tanycastell ",68.72,72.4,72.64,73.96,74.08,74.2
"","","","5142220 - Ysgol Ffridd Y Llyn ",64,64,70,64,57,65
"","","","5142221 - Ysgol Maenofferen ",207.2,208.2,217.84,226.32,225.32,217
"","","","5142227 - Ysgol Gynradd Hirael ",156.6,158.48,147.24,181.56,166.88,165.12
"","","","5142228 - Ysgol Craig y Deryn ",105.04,109.28,111.04,110.72,111.84,109.16
"","","","5142229 - Bro Llifon ",75.016667,119.8,127.68,132.04,143.24,153.36
"","","","5143004 - Ysgol Pont Y Gof ",110.04,111.28,99.96,104.04,110.4,96.96
"","","","5143005 - Ysgol Gynradd Maesincla ",292.84,298.04,280.84,266.08,252.64,250.48
"","","","5143009 - Ysgol Y Faenol ",242.2,236.2,219.2,211.72,206.24,202.24
"","","","5143010 - Ysgol Foel Gron ",33.28,40.32,35.52,38.32,37.32,37.2
"","","","5143013 - Ysgol Llandygai ",149.84,137.4,139.24,141.16,123.52,117.92
"","","","5143018 - Ysgol Gynradd Llandwrog ",52.2,55.88,49.88,43.52,43.32,40.64
"","","","5143023 - Ysgol Llanystumdwy ",30.44,25.76,27.2,20.88,19.88,18.76
"","","","5143029 - Ysgol Tregarth ",120.84,110.04,107.16,110.52,106.04,102.16
"","","","5143030 - Ysgol Gynradd Cae Top ",219.2,224.64,223.2,224.88,225.64,222.2
"","","","5143037 - Ysgol Machreth ",9.88,0,".",".",".","."
"","","","5143041 - Ysgol Gynradd Dolgellau ",138.48,139.24,56.033333,".",".","."
"","","","5143300 - Ysgol Santes Helen ",68.84,67.96,80.28,88.08,84.2,66.96
"","","","5143301 - Ysgol Ein Harglwyddes ",118.4,120.4,123.52,117.96,115.4,116.28
"","","","5143305 - Ysgol Beuno Sant Y Bala ",46,51,44,38,13.75,"."
