"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5142220 - Ysgol Ffridd Y Llyn ",269.231736,267.860606,284.351846,242.546723,219.27967,278.984237
"","","","5142221 - Ysgol Maenofferen ",790.814653,737.381711,761.6394,779.996144,800.688889,855.724164
"","","","5142227 - Ysgol Gynradd Hirael ",553.731237,576.079787,524.424313,625.551025,602.144355,649.487733
"","","","5142228 - Ysgol Craig y Deryn ",400.454465,431.760944,452.607261,503.479963,527.359193,550.833257
"","","","5142229 - Bro Llifon ",269.579624,467.287136,479.210337,509.901819,517.394051,593.944224
"","","","5143004 - Ysgol Pont Y Gof ",377.297875,392.299946,373.336572,405.531614,399.811633,396.726818
"","","","5143005 - Ysgol Gynradd Maesincla ",1192.002786,1168.180966,1151.006381,1139.385125,1117.631107,1200.85304
"","","","5143009 - Ysgol Y Faenol ",726.206719,729.701924,684.223372,675.594553,667.529626,711.956975
"","","","5143010 - Ysgol Foel Gron ",159.139196,167.236301,166.794989,180.423484,164.388138,185.417413
"","","","5143013 - Ysgol Llandygai ",528.205739,524.355605,526.608435,525.317635,499.924951,508.107617
"","","","5143018 - Ysgol Gynradd Llandwrog ",230.830051,226.44224,218.834435,196.186993,202.445516,210.427326
"","","","5143023 - Ysgol Llanystumdwy ",151.288171,159.922473,168.169276,188.978095,179.952108,195.326286
"","","","5143029 - Ysgol Tregarth ",422.102196,410.57314,386.828045,401.575888,394.610312,421.460029
"","","","5143030 - Ysgol Gynradd Cae Top ",841.140906,845.088323,785.968185,788.997812,816.146435,854.193548
"","","","5143037 - Ysgol Machreth ",119.703725,0,".",".",".","."
"","","","5143041 - Ysgol Gynradd Dolgellau ",506.55308,535.205994,206.494022,".",".","."
"","","","5143300 - Ysgol Santes Helen ",254.045364,256.54989,296.906792,317.875419,318.602971,297.067151
"","","","5143301 - Ysgol Ein Harglwyddes ",412.750205,381.931528,429.271832,389.091911,415.966896,447.411729
"","","","5143305 - Ysgol Beuno Sant Y Bala ",233.034385,256.404647,219.316154,163.800332,65.376474,"."
"","","","5149991 - Unallocated resources - primary ",2051.13,1672.054,899.079,934.499,1358.489,1025.257
"","","Gwynedd - Middle ","",0,0,1907.440507,3018.157879,4294.725,5459.8852
"","","Gwynedd - Middle ","5149996 - Unallocated resources - middle ",".",0,105.53,145.42,66.293,2.8852
"","","","5145500 - Ysgol Bro Idris ",".",".",1801.910507,2872.737879,2871.931,2875
"","","","5145501 - Ysgol Godre'r Berwyn ",".",".",".",".",1356.501,2582
"","","Gwynedd - Secondary ","",33965.307528,33702.634434,33050.26796,32362.792276,32509.080202,34698.794353
"","","Gwynedd - Secondary ","5144002 - Ysgol Dyffryn Ogwen ",1869.92565,2033.509014,2079.7566,2232.43599,2400.14312,2550.522345
"","","","5144003 - Ysgol Botwnnog ",1836.055507,1866.191586,1893.173709,1878.066898,1965.363766,2300.840956
"","","","5144004 - Ysgol Brynrefail ",3245.68727,3347.580013,3313.859527,3219.028871,3353.835589,3711.938585
"","","","5144007 - Ysgol Dyffryn Nantlle ",2427.908597,2288.901813,2252.801329,2159.549733,2130.841712,2305.699509
"","","","5144009 - Ysgol Eifionydd ",1770.750659,1816.730108,1839.187286,1851.107135,1906.974182,2087.760525
"","","","5144030 - Ysgol Y Gader ",2138.297243,1982.385095,760.291499,".",".","."
"","","","5144031 - Ysgol Y Moelwyn ",1712.599192,1716.803753,1803.250076,1865.870116,1845.044554,1915.198249
"","","","5144032 - Ysgol Uwchradd Tywyn ",1409.152379,1438.696981,1544.329065,1556.829192,1644.164167,1828.424059
"","","","5144033 - Ysgol Y Berwyn ",1625.681596,1656.208018,1667.918992,1701.629968,742.898289,"."
"","","","5144034 - Ysgol Ardudwy ",1493.592069,1533.651961,1580.966868,1615.194579,1675.267096,1812.754134
"","","","5144036 - Ysgol Friars ",5191.956282,5261.971419,5341.703612,5503.289534,5619.748969,6290.360383
"","","","5144037 - Ysgol Tryfan ",2318.031077,2335.251665,2342.019796,2239.982701,2314.75145,2445.290074
"","","","5144039 - Ysgol Syr Hugh Owen ",3990.771529,3997.950981,4115.797741,4078.677486,4195.663701,4458.303388
"","","","5144040 - Ysgol Glan Y Mor ",2304.66348,2303.964029,2371.510861,2362.654072,2384.933608,2593.232747
"","","","5149992 - Unallocated resources - secondary ",630.235,122.838,143.701,98.476,329.45,398.4694
"","","Gwynedd - Special ","",2481.124594,2767.843969,3286.090656,3777.73335,4208.475121,4273.598876
"","","Gwynedd - Special ","5147000 - Ysgol Coedmenai ",".",".",".",".",".","."
"","","","5147002 - Ysgol Pendalar ",1546.811817,1669.672022,1840.800542,1948.070496,2093.441658,2212.909604
"","","","5147010 - Ysgol Hafod Lon ",783.937777,1065.233946,1409.770115,1776.468854,1860.185464,1988.710873
"","","","5149993 - Unallocated resources - special ",150.375,32.938,35.52,53.194,254.848,71.9784
"","Conwy ","","",70209.842481,71169.997981,70347.74382,70565.432627,70634.464355,73962.529945
"","Conwy ","Conwy - Nursery ","5169994 - Unallocated resources - nursery ",0,0,0,0,0,0
"","","Conwy - Primary ","",33132.513733,33562.066647,33144.507134,33227.869392,33086.440227,34353.068866
"","","Conwy - Primary ","5162002 - Ysgol Dolgarrog ",263.760296,290.803231,293.613474,306.209244,137.227706,"."
"","","","5162012 - Ysgol Betws-y-Coed ",200.382058,213.398384,204.346755,209.897486,203.8018,215.58447
"","","","5162023 - Ysgol Capelulo ",466.950718,494.691859,506.821345,501.631262,503.812709,565.271352
"","","","5162038 - Ysgol Deganwy ",1116.130782,1138.640229,1053.224461,1014.129631,973.113852,1036.05592
"","","","5162043 - Ysgol Gynradd Dolwyddelan ",183.565813,184.292589,198.053029,198.908452,205.979234,228.021008
"","","","5162044 - Ysgol Ffordd Dyffryn ",641.376814,697.503437,758.755521,875.126791,788.248996,918.138574
"","","","5162053 - Ysgol Glanwydden ",960.254168,970.336572,977.597718,952.953999,957.450249,1026.897752
"","","","5162055 - Ysgol Yr Wyddfid ",".",".",".",".",".","."
"","","","5162061 - Ysgol Tudno ",953.619737,906.933836,904.790394,871.959557,831.116448,874.297477
"","","","5162063 - Ysgol Morfa Rhiannedd ",577.043544,621.101114,571.777372,566.369201,584.861558,630.459979
"","","","5162064 - Ysgol Maelgwn ",855.972977,808.235747,0,".",".","."
"","","","5162086 - Ysgol Penmachno ",189.593507,198.913618,216.040742,214.35483,217.917616,234.397069
"","","","5162100 - Conwy Road Infants School ",".",".",".",".",".","."
"","","","5162101 - Ysgol Babanod Glan y Mor ",739.98073,".",".",".",".","."
"","","","5162102 - Ysgol Gynradd Ro Wen ",".",".",".",".",".","."
"","","","5162103 - Llandrillo Yn Rhos Primary School ",1390.724776,1413.801263,1449.915473,1420.807868,1435.610073,1510.196843
"","","","5162104 - Ysgol Llanfair Talhaiarn ",229.746006,255.841752,252.311914,237.245496,244.620484,265.215896
"","","","5162106 - Mochdre Infants C.P. School ",293.160589,311.296742,308.537652,310.448408,294.65933,278.844747
"","","","5162107 - Ysgol Gynradd Tal-Y-Bont ",181.608098,186.782407,171.754522,181.87683,77.885875,"."
"","","","5162108 - Ysgol T. Gwynn Jones ",677.497203,692.35501,744.954337,724.911345,706.248426,745.455944
"","","","5162109 - Ysgol Trefriw ",183.821815,182.818519,0,".",".","."
"","","","5162110 - Ysgol Maes Owen ",877.630955,903.93919,927.222634,878.621775,931.083751,950.247962
"","","","5162111 - Ysgol Glan Gele ",914.364644,931.278495,949.650861,891.428911,928.279995,1000.609744
"","","","5162112 - Ysgol Glan Morfa ",740.214923,752.110139,770.10586,802.584542,814.524646,839.599545
"","","","5162114 - Ysgol Bod Alaw ",1057.085309,1031.491048,1009.423566,992.49062,949.604724,990.007135
"","","","5162115 - Ysgol Pant-Y-Rhedyn ",496.404222,519.933532,534.414254,538.511523,516.692506,554.339179
"","","","5162117 - Ysgol Nant Y Coed ",617.217074,654.067251,0,".",".","."
"","","","5162118 - Ysgol Y Foryd ",772.731842,815.66575,767.638889,766.931266,746.533742,729.366291
"","","","5162119 - Ysgol Dinmael ",".",".",".",".",".","."
