"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5182166 - Ysgol Cyffylliog ",".",".",".",".","."
"","","","5182167 - Ysgol Bro Famau - Llanarmon Unit ",".",".",".",".","."
"","","","5182168 - Ysgol Gynradd Pentrecelyn ",-21.90407,-25.45413,-21.0798,-16.08038,-29.418
"","","","5182169 - Ysgol Rhewl ",8.9571,9.33423,-27.68172,55.69329,"."
"","","","5182214 - Ysgol Betws Gwerfil Goch ",12.44631,16.88483,26.24792,36.81656,31.914
"","","","5182215 - Ysgol Carrog ",28.18695,22.75927,30.74447,24.79126,50.265
"","","","5182216 - Ysgol Caer Drewyn ",75.41431,56.92897,47.53526,51.25095,52.354
"","","","5182218 - Glyndyfrdwy Community School ",".",".",".",".","."
"","","","5182219 - Ysgol Bro Elwern ",-0.3268,8.43402,29.34737,22.3211,40.526
"","","","5182220 - Llandrillo C.P. School ",".",".",".",".","."
"","","","5182227 - Ysgol Y Llys ",49.29319,-8.27536,20.80368,71.96171,48.106
"","","","5182228 - Ysgol Bro Famau - Llanferres Unit ",".",".",".",".","."
"","","","5182234 - Ysgol Bryn Collen ",-42.01765,-29.94527,-9.374,8.83566,24.898
"","","","5182236 - Heulfre Junior School ",".",".",".",".","."
"","","","5182239 - Ysgol Maes Hyfryd ",".",".",".",".","."
"","","","5182255 - Rhos Street C.P. School ",25.82627,19.22462,62.93335,28.40647,63.891
"","","","5182256 - Ysgol Pen Barras ",68.11444,46.60781,96.69925,27.99312,10.072
"","","","5182261 - Ysgol Bro Cinmeirch ",24.04504,10.56152,27.11873,48.17981,59.779
"","","","5182262 - Ysgol Bro Famau ",-13.40033,-8.53748,15.35153,26.83173,14.286
"","","","5182263 - Ysgol Gymraeg Y Gwernant ",-3.09278,-14.86621,28.52405,40.94469,5.927
"","","","5182264 - Ysgol Clawdd Offa ",-32.32304,59.4582,211.06543,143.94803,149.975
"","","","5182265 - Bodnant Community School ",-115.35816,-145.70302,-93.41239,-46.73755,2.187
"","","","5182266 - Ysgol Pendref ",-69.39806,-74.78537,-81.54561,-117.40346,-132.73
"","","","5182267 - Ysgol Bro Dyfrdwy ",-12.70486,10.36075,28.13609,41.1852,35.594
"","","","5182268 - Ysgol Carreg Emlyn ",15.14161,48.69496,92.32354,108.3377,77.288
"","","","5183020 - Ysgol Tremeirchion ",4.92245,1.11489,17.36215,8.14702,15.834
"","","","5183024 - St Asaph Infants ",4.73532,18.11296,6.67293,5.52939,-3.78
"","","","5183034 - Llantysilio C.I.W. Controlled School ",".",".",".",".","."
"","","","5183044 - Ysgol Llanbedr ",4.4745,-3.74059,25.5748,26.02611,29.705
"","","","5183045 - Ysgol Llanfair Dyffryn Clwyd ",27.56819,23.70896,22.28982,18.20429,0.668
"","","","5183050 - Ysgol Borthyn ",-52.59174,-87.11802,-43.95405,-40.81759,-45.045
"","","","5183051 - Ysgol Trefnant ",".",".",".",".","."
"","","","5183057 - Ysgol Pant Pastynog ",12.71569,-4.68,3.22867,9.4779,11.546
"","","","5183061 - Ysgol Dyffryn Ial ",27.54816,-8.01991,16.97888,15.35056,3.709
"","","","5183062 - Ysgol Esgob Morgan C.I.W. Voluntary Controlled Primary School ",".",17.77941,27.19316,27.82562,36.887
"","","","5183313 - St Winefrides R.C. School ",".",".",".",".","."
"","","","5183315 - Ysgol Mair R.C. School ",5.3969,22.9202,39.82949,42.08169,0
"","","","5183316 - Ysgol Trefnant ",23.41209,37.75877,48.14502,12.68264,4.306
"","","","5185999 - St Brigid's School (Primary) ",".",".",".",".","."
"","","Denbighshire - Secondary ","",592.35121,-1274.26472,-1511.0072,-1651.45523,-1770.445
"","","Denbighshire - Secondary ","5184003 - Rhyl High School ",102.50683,-278.90139,-209.97195,-140.45361,-194.903
"","","","5184014 - Prestatyn High School ",349.71646,-65.675,-102.48929,-352.79252,-952.314
"","","","5184020 - Ysgol Uwchradd Glan Clwyd ",312.33078,161.85057,161.94059,159.46536,144.894
"","","","5184026 - Denbigh High School ",47.54126,-166.75112,-323.28241,-514.59056,-694.559
"","","","5184027 - Ysgol Dinas Bran ",-66.97066,-86.74477,-82.78537,103.11047,90.061
"","","","5184031 - Ysgol Brynhyfryd ",-303.84102,-865.19683,-754.6729,-392.52148,-163.624
"","","","5184601 - Blessed Edward Jones R.C. High School ",151.06756,27.15382,-199.74587,-513.67289,0
"","","","5185900 - St Brigid's School (Secondary) ",".",".",".",".","."
"","","Denbighshire - Middle ","",-75.66709,-219.64,-282.528,-295.03787,-827.586
"","","Denbighshire - Middle ","5185901 - St Brigid's School (Middle) ",-75.66709,-219.64,-282.528,-295.03787,-417.474
"","","","5185902 - Establish new EM VA 3-16 Middle school on existing sites ",".",".",".",".",-410.112
"","","Denbighshire - Special ","",837.89906,529.75539,523.81923,522.57968,275.13769
"","","Denbighshire - Special ","5187000 - Ysgol Tir Morfa ",200.57267,-56.263,35.747,120.54065,198.13154
"","","","5187010 - Ysgol Plas Brondyffryn ",637.32639,586.01839,488.07223,402.03903,77.00615
"","Flintshire ","","",2349.58906,1567.70613,1284.79883,1335.08699,112.582229999999
"","Flintshire ","Flintshire - Nursery ","5201003 - The Croft Nursery School ",".",".",".",".","."
"","","Flintshire - Primary ","",2576.57753,2213.78822,2402.46167,2565.10871,1919.95632
"","","Flintshire - Primary ","5202002 - Ysgol Glan Aber ",52.6391,83.29889,95.79505,71.10616,44.75558
"","","","5202003 - Ysgol Merllyn ",5.88643,-21.56581,-31.10518,-32.34374,-63.93293
"","","","5202004 - Westwood Community Primary School ",-3.04379,6.29814,4.68904,31.66999,7.77513
"","","","5205900 - Buckley Junior County Primary School ",".",".",".",".","."
"","","","5202008 - Custom House Lane C.P. ",".",".",".",".","."
"","","","5202009 - Dee Road Infants School ",".",".",".",".","."
"","","","5202012 - Ewloe Green C.P. School ",92.21478,38.78638,25.57828,75.3858,111.81533
"","","","5202013 - Ysgol Bryn Garth ",35.98728,29.33592,22.79656,21.28181,18.21387
"","","","5202015 - Ysgol Gwynedd ",41.23798,47.91906,93.1311,115.41749,69.32106
"","","","5202017 - Ysgol Maes Edwin ",60.04152,55.78571,".",".","."
"","","","5202018 - Ysgol Maesglas ",26.98277,25.37127,44.77403,42.36859,59.08464
"","","","5202021 - Ysgol Gymraeg Mornant ",30.72681,16.13253,32.14502,45.73941,17.68079
"","","","5202022 - Ysgol Y Fron C.P. School ",68.52971,0,".",".","."
"","","","5202023 - Perth y Terfyn Infants School ",28.12284,0,".",".","."
"","","","5202024 - Ysgol Estyn C.P. ",87.8583,16.03769,2.38983,14.31167,21.98401
"","","","5202026 - Lixwm C.P. School ",37.1954,37.57767,31.57178,22.18328,14.24774
"","","","5202027 - Llanfynydd C.P. School ",38.27627,38.24977,".",".","."
"","","","5202028 - Ysgol Glanrafon ",37.63099,25.01493,34.43423,47.90642,24.74058
"","","","5202031 - Mynydd Isa Junior School ",".",".",".",".","."
"","","","5202032 - Northop Hall C.P. School ",52.54638,30.63853,41.24836,57.49629,69.60338
"","","","5202040 - Saltney Wood Memorial C.P. School ",6.99625,-3.6001,20.07585,29.39144,16.50627
"","","","5202041 - Sealand C.P. School ",31.45811,2.78198,8.07318,21.60195,42.68755
"","","","5202042 - Shotton Infants School ",".",".",".",".","."
"","","","5202043 - Sychdyn C.P. School ",23.88083,32.20066,44.30603,42.62182,27.90101
"","","","5202044 - Ysgol Gynradd Trelogan ",12.11591,5.62755,7.32199,14.94817,42.31589
"","","","5202046 - Ysgol Bryn Pennant C.P. ",59.85986,49.1493,52.44055,24.37121,30.74277
"","","","5202049 - Ysgol Bro Carmel ",25.06173,26.24227,16.60871,39.48709,18.15665
"","","","5202050 - Ysgol Rhos Helyg ",29.10484,31.25549,21.54503,33.21596,54.16819
"","","","5202051 - Ysgol Terrig ",19.01062,16.67749,21.55031,18.87485,-8.0566
"","","","5202052 - Bryn Deva C.P. School ",18.93468,34.0438,14.85995,77.19746,53.13624
"","","","5202053 - Sandycroft C.P. School ",48.25527,40.78581,7.55028,21.24304,18.07351
"","","","5202056 - Gwernymynydd C.P. School ",30.99273,18.14584,57.71792,53.61206,31.97146
"","","","5202061 - Queensferry C.P. School ",79.1047,76.1408,39.91571,18.18408,35.92616
"","","","5202062 - Ysgol Bryn Coch ",41.71407,50.48887,58.3944,-16.98732,-89.69136
"","","","5202063 - Mountain Lane C.P. School ",-20.11519,43.27129,92.49691,81.96453,41.37213
"","","","5202064 - Ysgol Y Foel ",25.73211,4.05209,2.18993,4.21328,4.0613
"","","","5202065 - Brynford C.P. School ",35.13435,25.88286,35.17888,21.66735,5.3421
"","","","5202068 - Ysgol Bryn Gwalia C.P. ",89.55768,86.02077,86.04598,88.53208,83.50188
"","","","5202069 - Ysgol Y Ddol ",".",".",".",".","."
"","","","5202071 - Buckley (West LEA Infants C.P.) ",".",".",".",".","."
"","","","5202073 - Hawarden C.P. Infants ",".",".",".",".","."
"","","","5202075 - Penyffordd Junior School ",".",".",".",".","."
"","","","5202077 - Golftyn C.P. School ",63.03563,56.68501,62.864,73.81075,49.24213
"","","","5202078 - Saltney Ferry C.P. School ",38.43438,1.58552,17.99199,30.1942,18.07194
"","","","5202080 - Wat's Dyke Infants School ",".",".",".",".","."
"","","","5202081 - Ysgol Y Waun ",73.91467,77.30302,77.47071,86.76116,68.81977
"","","","5202082 - Ysgol Gwenffrwd ",42.63438,66.18057,58.12578,64.90264,83.1268
"","","","5202083 - Taliesin Junior School ",".",".",".",".","."
"","","","5202084 - Abermorddu C.P. School ",54.74155,62.60838,55.61865,34.22334,-2.20064
"","","","5202085 - Southdown C.P. ",72.80897,62.00541,12.85301,22.1397,37.15486
"","","","5202086 - Wepre C.P. School ",111.49648,57.05972,55.77034,93.90684,72.83061
"","","","5202089 - Drury C.P. School ",-21.85771,2.8801,-10.81507,-25.14046,-17.97066
"","","","5202090 - Broughton Infants School ",".",".",".",".","."
"","","","5202091 - Cornist Park C.P. School ",85.28234,58.3193,60.85734,99.16123,33.6311
"","","","5202092 - Ysgol Derwenfa ",30.39785,18.74912,6.56546,4.44694,-10.37681
"","","","5202093 - Penarlag C.P. School ",27.33514,14.02958,20.84148,34.86242,7.88862
"","","","5202094 - Ysgol Owen Jones ",10.01473,1.46173,24.11458,33.83601,2.69413
"","","","5202097 - Broughton Junior School ",".",".",".",".","."
"","","","5202231 - Abbots Lane C.P. Infants ",".",".",".",".","."
"","","","5202237 - Ysgol Gronant ",1.11664,16.60853,28.09023,6.97094,52.83401
"","","","5202257 - Ysgol Croes Atti ",-23.185,35.34752,5.54468,-43.91957,3.315
"","","","5202266 - Ysgol Parc Y Llan ",51.01707,35.66326,44.46945,28.05936,28.66802
"","","","5202267 - Ysgol Mynydd Isa ",112.88741,47.33353,12.58996,10.42746,24.11567
"","","","5202268 - Broughton Primary School ",81.20308,38.09573,21.13091,26.69708,21.49524
"","","","5202269 - Ysgol Cae'r Nant ",51.25243,41.77583,96.48302,79.28443,62.72891
"","","","5202270 - Penyffordd Primary School ",43.0699,43.12912,86.89786,110.14806,97.46524
"","","","5202271 - Ysgol Ty Ffynnon ",68.73668,36.10797,61.00891,50.25298,35.80594
"","","","5202272 - Ysgol Maes-Y-Felin ",".",142.76751,147.84882,57.0194,24.89479
"","","","5203002 - Nannerch Voluntary Controlled Primary School ",-5.96949,0.74164,20.66854,12.80748,-17.63754
"","","","5203004 - RhesyCae Voluntary Controlled Primary School ",".",".",".",".","."
"","","","5203021 - Nercwys Primary School ",".",".",".",".","."
"","","","5203303 - Ysgol Yr Esgob ",20.20501,16.59772,16.66252,22.1042,22.14391
"","","","5203306 - St Mary's R.C. Primary School ",62.59818,72.43511,78.019,160.49188,141.30598
"","","","5203307 - St Winefrides R.C. School ",-37.80272,-25.62109,-15.36002,-3.12713,-16.3661
"","","","5203308 - St David's R.C. School ",26.56178,27.51933,30.70911,14.99635,14.3119
"","","","5203311 - St Anthony's R.C. Primary School ",74.0177,45.85444,34.20275,17.16363,16.11499
"","","","5203312 - Ven. Edward Morgan R.C. Primary School ",42.23566,72.54781,69.13369,101.97232,91.88335
"","","","5203316 - Trelawnyd V.A. School ",56.50622,21.5874,61.01823,68.0847,60.82282
"","","","5203317 - Rector Drew V.A.  School ",".",".",".",".","."
"","","","5203320 - Ysgol Y Llan V.A. Primary School ",13.29313,20.87911,38.86184,24.78477,4.96095
"","","","5203330 - St Ethelwold's Primary School ",12.56039,13.98841,8.21879,8.22351,13.41161
"","","","5203331 - St John the Baptist V.A. Primary School ",-2.50929,-0.24877,15.66661,5.27763,-0.37548
"","","","5203332 - Nercwys CIW Voluntary Aided Primary School ",25.80618,25.85364,25.88613,21.93964,17.80755
"","","","5203333 - Hawarden village V.A. C.I.W. Primary School ",19.58198,10.49199,41.79673,86.63516,30.00489
"","","","5205200 - Derwen Foundation School ",45.52486,27.41757,46.93593,59.04744,43.92849
"","","","5209999 - Ty Ffynnon ",".",".",".",".","."
"","","Flintshire - Secondary ","",-455.22523,-876.07619,-1285.85584,-1454.81096,-2093.6766
"","","Flintshire - Secondary ","5204000 - Hawarden High School ",75.83356,65.12522,69.7056,47.8079,45.40753
"","","","5204006 - Alun School ",99.35056,36.9264,43.01781,122.46629,18.62399
"","","","5204011 - Elfed High School ",-43.87944,-139.80422,53.22349,198.62235,-43.18719
"","","","5204012 - Holywell High School ",-320.31085,-270.244,-585.96449,-646.17286,-761.2978
"","","","5204013 - St David's High School ",24.82165,-15.57462,-157.10548,-452.60936,-775.64459
"","","","5204017 - Castell Alun High School ",71.81255,101.49407,59.53794,-8.67393,1.07168
"","","","5204018 - Ysgol Maes Garmon ",-293.36305,-249.55733,-245.3213,-173.17727,-180.11027
"","","","5204019 - John Summers High School ",99.86079,-4.92645,0,".","."
"","","","5204021 - Flint High School ",48.48446,50.85429,80.21034,55.6795,32.65626
"","","","5204022 - Connah's Quay High School ",-84.6222,-106.9577,-164.37873,-34.47721,124.04232
"","","","5204042 - Argoed School ",46.98107,83.54527,-26.0022,-56.00034,-12.97378
"","","","5204600 - St Richard Gwyn Catholic High School ",-180.19433,-426.95712,-412.77882,-508.27603,-542.26475
"","","Flintshire - Middle ","Flintshire - Middle ",".",".",".",".","."
"","","Flintshire - Special ","",228.23676,229.9941,168.193,224.78924,286.30251
"","","Flintshire - Special ","5207013 - Ysgol Delyn ",".",".",".",".","."
"","","","5207014 - Ysgol Belmont ",".",".",".",".","."
"","","","5207015 - Ysgol Talfryn ",".",".",".",".","."
"","","","5207018 - Ysgol Y Bryn ",".",".",".",".","."
"","","","5207019 - Ysgol Bryn Glas ",".",".",".",".","."
"","","","5207020 - Ysgol Pen Coch ",29.21077,57.886,100.622,145.82955,148.40846
"","","","5207021 - Ysgol Maes Hyfryd ",199.02599,172.1081,67.571,78.95969,137.89405
"","Wrexham ","","",2579.77303,1642.16587,2012.37454,1821.02292,2112.92732
"","Wrexham ","Wrexham - Nursery ","",20,14.60515,17.60026,18.3698,29.05226
"","","Wrexham - Nursery ","5221007 - Wrexham Early Years Centre ",20,14.60515,17.60026,18.3698,29.05226
"","","","5221008 - Erddig Nursery School ",".",".",".",".","."
"","","Wrexham - Primary ","",1951.85998,1549.19566,2179.75051,2313.34079,2445.92907
"","","Wrexham - Primary ","5222076 - The Rofft C.P. School ",39.47866,12.92529,-0.41911,11.24384,1.92156
"","","","5222137 - Froncysyllte C.P. School ",19.38322,16.2073,8.30038,15.84507,9.76696
"","","","5222138 - Garth C.P. School ",18.18207,10.34927,14.06583,30.9961,33.83869
"","","","5222139 - Ysgol Cynddelw ",17.63482,2.62648,1.18801,-5.65645,18.25628
"","","","5222140 - Ysgol Llanarmon Dyffryn Ceiriog ",7.85883,8.36259,8.62781,2.30243,8.49153
"","","","5222143 - Pontfadog C.P. School ",3.873,0.68213,1.74637,-5.45422,0
"","","","5222144 - Chirk Infants School ",".",".",".",".","."
"","","","5222145 - Ceiriog Junior School ",".",".",".",".","."
"","","","5222149 - Ysgol Acrefair ",52.43063,35.90693,-2.03411,1.79823,-21.51278
"","","","5222151 - Cefn Mawr Primary School ",41.29894,33.28585,41.06742,50.94563,51.62146
"","","","5222153 - Johnstown Junior School ",0,".",".",".","."
"","","","5222154 - Penycae Junior C.P. School ",".",".",".",".","."
"","","","5222155 - Penycae Infants School ",".",".",".",".","."
"","","","5222156 - Ysgol Y Ponciau ",".",".",".",".","."
"","","","5222160 - Ysgol Maes y Llan ",27.70787,29.02411,45.58085,24.44905,29.82569
"","","","5222162 - Ysgol Min y Ddol ",14.47973,9.96677,26.97385,31.35089,16.72381
"","","","5222172 - Acton Park Junior School ",".",".",".",".","."
"","","","5222173 - Alexandra C.P. School ",80.31484,91.56654,86.36133,73.21038,164.98609
"","","","5222176 - Brynteg C.P. School ",32.76918,26.57756,52.82445,71.38415,103.6993
"","","","5222178 - Bwlchgwyn C.P. School ",8.39118,18.72252,15.04572,10.27944,0.38896
"","","","5222179 - Ysgol Tan-y-Fron ",3.08697,1.85412,16.61949,15.70499,20.68991
"","","","5222180 - Gwersyllt Junior C.P. School ",".",".",".",".","."
"","","","5222183 - Park Junior School ",".",".",".",".","."
"","","","5222184 - Park C.P. Infants School ",".",".",".",".","."
"","","","5222185 - Ysgol Penrhyn New Broughton ",".",".",".",".","."
"","","","5222186 - Ysgol Penrhyn New Broughton Infants ",".",".",".",".","."
"","","","5222187 - Black Lane C.P. School ",23.31957,23.86897,23.01733,39.5053,59.54444
"","","","5222189 - Penygelli Junior School ",".",".",".",".","."
"","","","5222190 - Penygelli Infants School ",".",".",".",".","."
"","","","5222191 - Rhosddu Primary School ",14.29246,8.05824,64.1741,48.84468,31.7189
"","","","5222194 - Victoria. Junior School ",".",".",".",".","."
"","","","5222195 - Victoria Infants C.P. School ",".",".",".",".","."
"","","","5222196 - Hafod Y Wern Infants C.P. School ",".",".",".",".","."
"","","","5222197 - Hafod Y Wern Junior School ",".",".",".",".","."
"","","","5222198 - Gwenfro Infants  School ",".",".",".",".","."
"","","","5222199 - Gwenfro Junior C.P. School ",".",".",".",".","."
"","","","5222200 - Rhostyllen C.P. School ",30.94958,26.77742,36.76511,39.13433,55.89619
"","","","5222201 - Rhosymedre Junior C.P. ",".",".",".",".","."
"","","","5222202 - Acton Park Infants School ",".",".",".",".","."
"","","","5222203 - Borras Park Infants School ",14.72483,0,".",".","."
"","","","5222204 - Ysgol Deiniol C.P. ",22.83427,26.53042,31.54882,21.8348,38.88682
"","","","5222205 - Borras Park Junior C.P. School ",9.0455,0,".",".","."
"","","","5222206 - Rhosymedre Infants C.P. School ",".",".",".",".","."
"","","","5222207 - Bryn Golau Infants School ",".",".",".",".","."
"","","","5222208 - Barker's Lane C.P. School ",25.42739,21.45817,32.05869,29.41924,34.67134
"","","","5222209 - Wat's Dyke C.P. School ",43.23777,40.33282,50.09471,67.10239,54.48723
"","","","5222213 - Ysgol Y Drindod School ",".",".",".",".","."
"","","","5222222 - Johnstown Infants School ",0,".",".",".","."
"","","","5222224 - Ysgol Bryn Tabor ",26.51584,8.70682,25.52451,67.8199,44.51053
"","","","5222232 - Ysgol Sant Dunawd ",24.06888,20.70299,36.15377,68.7888,76.94649
"","","","5222235 - Holt Community Primary School ",0.04657,-8.17939,-3.61725,-19.89393,-38.75592
"","","","5222238 - Ysgol Bodhyfryd ",59.42127,36.0327,57.42023,63.12459,100.39053
"","","","5222240 - Ysgol Y Gaer ",".",".",".",".","."
"","","","5222258 - Ysgol Y Rhos ",".",".",".",".","."
"","","","5222259 - Ysgol I.D. Hooson ",46.45071,13.92451,7.77437,0.4543,15.33411
"","","","5222263 - Ysgol Plas Coch ",37.16098,36.89569,40.87786,53.34417,56.80225
"","","","5222266 - Penygelli Primary ",70,71.9849,66.94003,69.26489,94.00277
"","","","5222267 - Ysgol Penrhyn New Broughton Primary ",35.15435,21.81464,7.38455,3.26384,-7.71807
"","","","5222268 - Ysgol Heulfan ",65.95049,45.37961,94.94912,109.00542,88.10065
"","","","5222269 - Hafod -Y- Wern Community Primary School ",52.75969,56.12951,95.34812,126.32248,154.07788
"","","","5222270 - Gwenfro Community Primary School ",43.5465,50.0229,116.86739,124.34125,134.56725
"","","","5222271 - Park Community Primary School ",36.28681,11.89863,58.10938,58.12038,79.24308
"","","","5222272 - Rhosymedre Community Primary School ",57.81079,55.17443,61.07597,59.42371,51.72975
"","","","5222273 - Ysgol Maes y Mynydd ",90.92049,54.71832,135.16561,143.26877,167.10136
"","","","5222274 - Gwersyllt Community Primary School ",61.36146,36.07843,47.06011,10.15571,43.66102
"","","","5222275 - Penycae Community Primary School ",-15.02304,-9.23539,24.28434,60.44805,11.24946
"","","","5222276 - Acton Primary ",142.53577,109.21883,55.44101,31.21763,12.09991
"","","","5222277 - Victoria Primary School ",77.76318,66.97451,105.51006,114.49562,156.23781
"","","","5222278 - Ysgol y Waun ",33.51378,22.57455,8.2171,-9.01515,-38.62868
"","","","5222279 - Ysgol Bro Alun ",16.25098,17.4977,35.87855,19.1343,2.18178
"","","","5222280 - Ysgol Yr Hafod Community Primary, Johnstown ",27.83209,4.77654,59.27589,87.1858,106.89333
"","","","5222281 - Borras Community Primary School ",".",26.56634,39.36869,44.76878,47.33977
"","","","5223028 - St Peter's CIW Voluntary Controlled Primary School ",18.66293,17.32408,32.97748,12.84348,39.05188
"","","","5223035 - Ysgol-Y-Wern ",".",".",".",".","."
"","","","5223036 - Pentre CIW Voluntary Controlled Primary School ",30.77698,26.58822,41.14921,31.62627,32.23041
