"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5162123 - Ysgol Gynradd Cerrigydrudion ",49.790002,20.019095,21.571705,22.895959,40.084241
"","","","5162129 - Ysgol Gynradd Rhydgaled ",".",".",".",".","."
"","","","5162131 - Ysgol Llannefydd ",20.845455,3.721647,0.880914,1.00895,-0.061023
"","","","5162132 - Ysgol Bro Aled ",9.090874,8.957362,16.440032,4.567935,2.133537
"","","","5162148 - Ysgol Bro Cernyw ",16.34195,3.96672,2.440625,11.511383,18.52074
"","","","5162221 - Ysgol Sant Elfod ",0.066638,44.010116,90.974796,109.471441,58.99525
"","","","5162222 - Ysgol Capel Garmon ",10.03118,3.699077,3.767045,2.535611,2.150099
"","","","5162225 - Ysgol Glan Conwy ",16.437561,24.922675,26.253505,46.194823,28.325129
"","","","5162244 - Ysgol Pendorlan ",0,".",".",".","."
"","","","5162253 - Ysgol Iau Tan y Marian ",0,".",".",".","."
"","","","5162262 - Ysgol Llangwm ",".",".",".",".","."
"","","","5162264 - Ysgol Cynfran ",44.454512,13.667908,42.239581,32.296257,2.804936
"","","","5162267 - Ysgol Iau Hen Golwyn ",40.442348,28.621083,27.418301,9.85143,12.489395
"","","","5162268 - Ysgol Babanod Penmaenrhos ",0,".",".",".","."
"","","","5162269 - Ysgol Cystennin ",22.348097,21.932826,10.294152,-8.52215,-23.602356
"","","","5162270 - Ysgol Pentrefoelas ",34.413658,11.38585,8.585338,7.842583,20.588223
"","","","5162271 - Ysgol Bro Gwydir ",131.275755,77.01019,85.056663,118.558979,182.461274
"","","","5162272 - Ysgol Nant Y Groes ",150.760567,125.125353,79.169633,10.091398,-42.901031
"","","","5162273 - Ysgol Swn  Y Don ",145.257863,180.781396,120.743938,50.594286,67.331677
"","","","5162274 - Ysgol Awel y Mynydd ",".",29.459858,-9.924629,10.759462,72.383724
"","","","5162275 - Ysgol Dyffryn yr Enfys ",".",".",".",".",33.450792
"","","","5163020 - Ysgol Babanod Llanfairfechan ",92.02585,99.654683,57.359634,70.618096,62.854922
"","","","5163021 - Ysgol Llangelynnin ",11.388214,-5.066003,19.188055,0.721923,3.774552
"","","","5163024 - Ysgol Pencae ",40.480063,68.050886,51.233544,19.378467,18.110859
"","","","5163032 - Ysgol Ysbyty Ifan ",21.190714,8.651439,9.019828,12.824199,23.282517
"","","","5163038 - Ysgol St George ",10.271908,-3.598391,3.93024,3.608822,5.467508
"","","","5163039 - Ysgol Llanddoged ",2.219842,-5.63314,-5.832013,13.235246,17.806675
"","","","5163040 - Ysgol Eglwysbach ",17.946618,10.631863,16.347323,13.172515,26.00984
"","","","5163043 - Ysgol Porth y Felin ",71.282356,74.294682,55.83166,55.567097,84.936015
"","","","5163059 - Ysgol Llanddulas ",41.72182,28.020625,50.77689,65.854201,51.689423
"","","","5163062 - Ysgol Betws yn Rhos ",17.051576,3.930937,8.192456,19.304717,20.510904
"","","","5163302 - Ysgol Bodafon ",23.584546,15.284751,26.742853,27.558027,34.276484
"","","","5163303 - Ysgol Bendigaid William Davies ",18.914183,1.622766,16.306917,29.458163,59.31648
"","","","5163307 - Ysgol San Sior ",-0.154114,2.728905,-0.84948,11.991758,27.576808
"","","","5163333 - Ysgol Sant Joseph ",76.454319,52.827033,46.320374,27.043703,32.364731
"","","","5163340 - Ysgol y Plas ",23.287959,27.067763,33.60194,47.357349,86.672019
"","","","5165201 - Ysgol Pen Y Bryn ",136.118359,117.791347,151.044346,111.972563,118.416663
"","","Conwy - Secondary ","",1434.355602,1098.564625,923.874682,203.365567,-543.071162
"","","Conwy - Secondary ","5164022 - Ysgol John Bright ",420.487543,470.330643,395.410598,236.692203,-11.673202
"","","","5164023 - Ysgol Aberconwy ",81.480779,20.811342,18.836826,51.856699,38.449711
"","","","5164035 - Ysgol Dyffryn Conwy ",43.190011,46.198888,41.389878,1.517769,-55.723465
"","","","5164038 - Ysgol Y Creuddyn ",119.862705,79.953743,184.116724,95.277097,-39.107202
"","","","5165400 - Ysgol Emrys Ap Iwan ",231.502623,104.087302,-61.144367,-411.642482,-571.120897
"","","","5165402 - Eirias High School ",420.17015,197.965059,153.976873,76.8762,-10.188087
"","","","5165403 - Ysgol Bryn Elian ",117.661791,179.217648,191.28815,152.788081,106.29198
"","","Conwy - Middle ","",".",".",".",".","."
"","","Conwy - Special ","",218.348808,102.39,77.956431,128.482648,61.110089
"","","Conwy - Special ","5167001 - Canolfan Addysgol Y Gogarth ",".",".",".",".","."
"","","","5167006 - Ysgol-Y-Graig ",".",".",".",".","."
"","","","5167007 - Ysgol Y Gogarth ",218.348808,102.39,77.956431,128.482648,61.110089
"","Denbighshire ","","",1561.58887,-1056.16015,-343.37655,-170.8544,-1387.58831
"","Denbighshire ","Denbighshire - Nursery ","",".",".",".",".","."
"","","Denbighshire - Primary ","",207.00569,-92.01082,926.33942,1253.05902,935.305
"","","Denbighshire - Primary ","5182011 - Ysgol Hiraddug ",49.4251,5.90026,19.11349,16.05331,-30.142
"","","","5182034 - Bodnant Infants School ",".",".",".",".","."
"","","","5182037 - Ysgol y Castell ",12.83307,-13.68867,-16.57735,-15.05778,-24.525
"","","","5182038 - Christchurch C.P. School ",-47.47162,-53.4944,45.72864,72.89693,-94.288
"","","","5182039 - Ysgol Llywelyn ",-114.99253,-128.83106,-59.02691,13.11759,-23.234
"","","","5182057 - Ysgol Y Faenol ",37.7066,36.2711,34.84218,36.98873,43.033
"","","","5182059 - Ysgol Penmorfa ",-39.60012,-107.8915,-28.03734,54.47285,123.233
"","","","5182060 - Ysgol Emmanuel ",54.89727,73.47693,133.17657,171.70101,152.914
"","","","5182066 - Ysgol Dewi Sant ",42.088,32.20569,61.20535,49.1349,68.764
"","","","5182067 - Ysgol Melyd ",12.64384,24.2868,76.7067,69.05548,21.618
"","","","5182070 - Ysgol Bodfari ",6.11542,-3.75925,-4.57519,-12.31375,-37.347
"","","","5182072 - Ysgol Bryn Hedydd ",48.11327,33.48645,50.44409,28.83448,6.153
"","","","5182079 - Bodnant Junior School ",".",".",".",".","."
"","","","5182098 - Ysgol Esgob Morgan ",46.8394,".",".",".","."
"","","","5182124 - Ysgol Cefn Meiriadog ",5.09891,2.93979,-7.67251,14.2644,17.663
"","","","5182125 - Ysgol Frongoch ",-2.4311,-35.23817,-22.57255,-9.9341,22.124
"","","","5182127 - Ysgol Henllan ",34.0592,20.21076,-13.97852,18.96234,32.501
"","","","5182128 - Ysgol Nantglyn C.P. ",".",".",".",".","."
"","","","5182133 - Gwaenynog Infants C.P. School ",".",".",".",".","."
"","","","5182134 - Ysgol Twm o'r Nant ",21.93605,10.80287,17.39784,33.11746,19.769
"","","","5182135 - Ysgol Bryn Clwyd ",10.78986,-5.00771,8.976,15.03648,10.193
"","","","5182136 - Ysgol Y Parc Infants ",-77.43797,-45.73567,-25.93818,1.93396,27.125
"","","","5182163 - Ysgol Clocaenog ",".",".",".",".","."
"","","","5182164 - Ysgol Gellifor ",51.31201,42.53595,10.06909,13.01121,41.007
"","","","5182165 - Ysgol Bro Famau - Graianrhyd Unit ",".",".",".",".","."
